unieknr	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	geselecteerd_basis	geselecteerd_reserve
45797	616411_v2014	70% gh; 30% 91E0_va	2	30	1	102	4	505	4879	0	1
45796	616440_v2014	60% gh; 20% 6430,rbbhf,bos; 20% 91E0_va	3	20	1	102	4	505	6294	0	1
45898	624641_v2014	70% 6430,rbbhf,bos; 30% 91E0_va	2	30	1	102	4	505	3289	0	1
45813	624685_v2014	70% 6430,rbbhf,bos; 30% 91E0_va	2	30	1	102	4	505	2489	0	1
45860	624864_v2014	70% 6430,rbbhf,bos; 30% 91E0_va	2	30	1	102	4	505	25905	0	1
45824	625006_v2014	70% 6430,rbbhf,bos; 30% 91E0_va	2	30	1	102	4	505	6455	0	1
45811	630226_v2014	100% 91E0_va	1	100	1	102	4	505	3930	0	1
45827	630374_v2014	100% 91E0_va	1	100	1	102	4	505	9201	0	1
45829	630400_v2014	70% 91E0_va; 30% rbbsf	1	70	1	102	4	505	3405	0	1
45815	630435_v2014	70% 91E0_va; 30% 91E0_vn	1	70	1	102	4	505	2135	0	1
45817	630452_v2014	100% 91E0_va	1	100	1	102	4	505	6583	0	1
45848	651657_v2014	100% 91E0_va	1	100	1	102	4	505	2417	0	1
45847	651814_v2014	100% 91E0_va	1	100	1	102	4	505	5107	0	1
45852	651909_v2014	100% 91E0_va	1	100	1	102	4	505	13775	1	1
45849	661676_v2014	100% 91E0_va	1	100	1	102	4	505	2736	0	1
45620	662040_v2014	100% 91E0_va	1	100	1	102	4	505	9502	0	1
11388	628360_v2014	70% rbbhc; 30% rbbmc	2	30	1	87	2	530	8888	0	1
11497	595069_v2014	70% gh; 30% rbbmr	2	30	1	88	2	530	26364	0	1
11384	597608_v2014	70% gh; 30% rbbmr	2	30	1	88	2	530	80389	0	1
11383	598060_v2014	70% 3130; 30% rbbmr	2	30	1	88	2	530	5839	0	1
11377	604129_v2014	70% gh; 30% rbbmr	2	30	1	88	2	530	36423	1	1
11419	631425_v2014	100% rbbmr	1	100	1	88	2	530	2952	0	1
