unieknr	loc_code	x	y	rasterid	groupnr	area_code	area_name	loc_validitycode	loc_validity	loc_typecode	loc_typename	obswell_statecode	obswell_state	soilsurf_ost	measuringref_ost	tubelength	filterlength	filterdepth	typegroup_name	firstyear	lastyear	nryears	cat
79	MOMP028	222496	174765	50	3	MOM	Mombeekvallei	2	1	1	1	3	1	39.194	39.584	3.53	0.4	2.94	2	NA	NA	0	3
80	MOMP029	218029	175625	230	3	MOM	Mombeekvallei	2	1	1	1	3	1	33.784	33.994	3.13	0.3	2.77	2	NA	NA	0	3
81	MOSP001	210617	207077	630	1	MOS	De Most	2	1	1	1	3	1	35.85	35.95	1.28	0.3	1.03	5	2006	2014	9	3
82	MOSP003	210894	207017	630	1	MOS	De Most	2	1	1	1	3	1	36.529	37.179	1.735	0.3	0.935	5	2006	2014	9	3
83	MOSP004	210870	207068	630	1	MOS	De Most	2	1	1	1	3	1	36.015	37.265	2.67	0.3	1.27	5	2006	2014	9	3
84	MSBP001	194922	187284	54	2	MSB	Molenstedebroek	1	2	1	1	4	2	18.619	19.019	3.18	0.4	2.58	3	NA	NA	0	3
85	MSBP002	194917	187270	54	2	MSB	Molenstedebroek	2	1	1	1	3	1	18.599	19.1069999999999	2.6	0.5	1.8420000000001	3	NA	NA	0	3
86	MSBP003	194861	187151	54	2	MSB	Molenstedebroek	1	2	1	1	4	2	18.684	19.154	2.44	0.4	1.77	3	NA	NA	0	3
87	MSBP006	194955	187335	54	2	MSB	Molenstedebroek	2	1	1	1	3	1	18.446	18.91	2.6	0.5	1.886	3	NA	NA	0	3
88	MSBP007	194938	187299	54	2	MSB	Molenstedebroek	2	1	1	1	3	1	18.587	19.073	2.4	0.5	1.664	3	NA	NA	0	3
89	MSBP008	194883	187199	54	2	MSB	Molenstedebroek	2	1	1	1	3	1	18.513	19.3859999999999	2.5	0.5	1.3770000000001	3	NA	NA	0	3
90	MSBP009	194851	187121	54	2	MSB	Molenstedebroek	2	1	1	1	3	1	19.018	19.452	3.2	0.5	2.516	3	NA	NA	0	3
91	MSBP011	195263	186767	54	3	MSB	Molenstedebroek	2	1	1	1	3	1	18.721	19.44	3.8	0.5	2.831	2	2016	2016	1	3
92	MSBP013	195275	186651	54	2	MSB	Molenstedebroek	2	1	1	1	3	1	18.5859999999999	19.3709999999999	3	0.5	1.965	3	NA	NA	0	3
93	MSBP014	195268	186601	54	2	MSB	Molenstedebroek	2	1	1	1	3	1	18.6419999999999	19.376	3	0.5	2.0159999999999	3	NA	NA	0	3
