loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	source.x	source.y	typegroup_name
ABEP109	ABE	Abeek	244859	206507	VLD	Gevalideerd	P	Peilbuis/Piëzometer	18110	90% rbbmr; 10% rbbhf; 0% 3150	2	10	1	70	3	402	1097	2.75	33.92	90% rbbmr; 10% rbbhfl; 0% 3150	habitatmap_stdized + interpretation	habitatmap_stdized + interpretation	13
ABEP116	ABE	Abeek	242112	208630	VLD	Gevalideerd	P	Peilbuis/Piëzometer	17934	100% 9190	1	100	1	99	5	146	18792	2.55	33.72	100% 9190	habitatmap_stdized	habitatmap_stdized	15
ABEP119	ABE	Abeek	240908	208538	VLD	Gevalideerd	P	Peilbuis/Piëzometer	34965	100% 91E0_vm	1	100	1	104	1	146	87439	1.1	34.34	100% 91E0_vm	habitatmap_stdized	habitatmap_stdized	11
ABEP120	ABE	Abeek	240944	208726	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27248	100% 9190	1	100	1	99	5	146	18512	2.56	34.31	100% 9190	habitatmap_stdized	habitatmap_stdized	15
ABEP121	ABE	Abeek	240946	209037	VLD	Gevalideerd	P	Peilbuis/Piëzometer	17961	100% 91E0_vm	1	100	1	104	1	146	178022	2.08	34.68	100% 91E0_vm	habitatmap_stdized	habitatmap_stdized	11
ABEP121	ABE	Abeek	240946	209037	VLD	Gevalideerd	P	Peilbuis/Piëzometer	17974	100% 91E0_vm	1	100	1	104	1	146	23208	2.08	34.68	100% 91E0_vm	habitatmap_stdized	habitatmap_stdized	11
ABEP122	ABE	Abeek	240978	209184	VLD	Gevalideerd	P	Peilbuis/Piëzometer	17974	100% 91E0_vm	1	100	1	104	1	146	23208	2.65	33.88	100% 91E0_vm	habitatmap_stdized	habitatmap_stdized	11
ABEP126	ABE	Abeek	239178	208571	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27304	100% 91E0_vm	1	100	1	104	1	146	13756	1.94	35.89	100% 91E0_vm	habitatmap_stdized	habitatmap_stdized	11
ABEP130	ABE	Abeek	243072	207172	ENT	Ingegeven	P	Peilbuis/Piëzometer	27213	50% 91E0_vm; 50% 9190	1	50	1	104	1	146	52370	2.67	33.64	50% 91E0_vm; 50% 9190	habitatmap_stdized	habitatmap_stdized	11
ABEP130	ABE	Abeek	243072	207172	ENT	Ingegeven	P	Peilbuis/Piëzometer	27213	50% 91E0_vm; 50% 9190	2	50	1	99	5	146	52370	2.67	33.64	50% 91E0_vm; 50% 9190	habitatmap_stdized	habitatmap_stdized	15
