loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	filterdepth	soilsurf_ost	polygon_id	description_orig	description	source.x	patch_id	phab	certain	type	source.y	groupnr	typegroup_name	rasterid	opp
ABEP119	ABE	Abeek	240908	208538	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.1	34.34	34965	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	146	87439
ABEP120	ABE	Abeek	240944	208726	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.56	34.31	27248	100% 9190	204	1	1	100	1	99	habitatmap_stdized	5	15	146	18512
ABEP121	ABE	Abeek	240946	209037	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.08	34.68	17961	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	146	178022
ABEP121	ABE	Abeek	240946	209037	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.08	34.68	17974	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	146	23208
ABEP122	ABE	Abeek	240978	209184	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.65	33.88	17974	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	146	23208
ABEP122	ABE	Abeek	240978	209184	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.65	33.88	17979	100% 9190	204	1	1	100	1	99	habitatmap_stdized	5	15	146	4428
ABEP126	ABE	Abeek	239178	208571	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.94	35.89	27304	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	146	13756
ABEP130	ABE	Abeek	243072	207172	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2.67	33.64	27213	50% 91E0_vm; 50% 9190	1031	1	1	50	1	104	habitatmap_stdized	1	11	146	52370
ABEP130	ABE	Abeek	243072	207172	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2.67	33.64	27213	50% 91E0_vm; 50% 9190	1031	1	2	50	1	99	habitatmap_stdized	5	15	146	52370
ABEP131	ABE	Abeek	243044	207218	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.42	32.78	27213	50% 91E0_vm; 50% 9190	1031	1	1	50	1	104	habitatmap_stdized	1	11	146	52370
ABEP131	ABE	Abeek	243044	207218	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.42	32.78	27213	50% 91E0_vm; 50% 9190	1031	1	2	50	1	99	habitatmap_stdized	5	15	146	52370
ABEP133	ABE	Abeek	245756	206792	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2.68	33.33	44327	100% rbbmr	292	1	1	100	1	88	habitatmap_stdized	2	12	402	6334
AHRP007	AHR	Antwerpse haven rechteroever	145765	225074	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.699	3.759	27320	80% gh; 20% rbbmr	5141	1	2	20	1	88	habitatmap_stdized	2	12	957	59882
AHRP008	AHR	Antwerpse haven rechteroever	145766	225074	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.152	3.692	27320	80% gh; 20% rbbmr	5141	1	2	20	1	88	habitatmap_stdized	2	12	957	59882
AHRP009	AHR	Antwerpse haven rechteroever	145901	224859	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.048	3.938	27320	80% gh; 20% rbbmr	5141	1	2	20	1	88	habitatmap_stdized	2	12	957	59882
AHRP010	AHR	Antwerpse haven rechteroever	145900	224859	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.993	4.033	27320	80% gh; 20% rbbmr	5141	1	2	20	1	88	habitatmap_stdized	2	12	957	59882
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.59	14.68	64199	100% 91E0_va	219	1	1	100	1	102	habitatmap_stdized	4	14	601	8585
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.2	13.8	60918	100% 91E0_va	219	1	1	100	1	102	habitatmap_stdized	4	14	601	13491
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	0.85	18.33	51016	100% 9130_end	190	1	1	100	1	95	habitatmap_stdized	4	14	601	28575
ARHP009	ARH	Aronst Hoek	203834	177051	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2.1	24.31	50824	70% rbbmr; 30% gh	4316	1	1	70	1	88	habitatmap_stdized	2	12	486	35033
ARHP010	ARH	Aronst Hoek	203804	177070	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2.3	24.191	50824	70% rbbmr; 30% gh	4316	1	1	70	1	88	habitatmap_stdized	2	12	486	35033
ARHP011	ARH	Aronst Hoek	203778	177234	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2	24.143	36348	80% gh; 20% rbbmr	5141	1	2	20	1	88	habitatmap_stdized	2	12	486	66975
ARHP013	ARH	Aronst Hoek	203744	177259	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2.3	24.407	36348	80% gh; 20% rbbmr	5141	1	2	20	1	88	habitatmap_stdized	2	12	486	66975
ASBP001	ASB	Asbeek	238494	179477	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	0.96	71.947	60412	70% 91E0_vo; 30% rbbsm	3846	1	1	70	1	106	habitatmap_stdized	1	11	1010	31562
ASBP001	ASB	Asbeek	238494	179477	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	0.96	71.947	60412	70% 91E0_vo; 30% rbbsm	3846	1	2	30	1	41	habitatmap_stdized	3	13	1010	31562
ASBP002	ASB	Asbeek	238407	179495	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.06	68.959	60294	65% 6230_hmo; 35% 4010	3108	1	1	65	1	51	habitatmap_stdized	4	14	1010	1518
