loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat	gew_aantal_meetptn	n	rankclus_lastyear	rankclus_nryears	rankclus	beschikbaar_aantal_cluster	unieknr	geselecteerd	reserve	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
ROTP003	ROT	Rotbroek	200403	185618	2	1	1	1	2	166	1.29	19.306	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	110	1	0	1	3	1	19.546	1.68	0.3
SCPP025	SCP	Scheps	206960	204244	2	1	1	1	2	886	1.53	30.348	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	113	1	0	1	1	6	31.348	2.53	0
SCPP042	SCP	Scheps	205315	204593	2	1	1	1	3	886	1.41	29.23	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	116	1	0	1	3	1	29.69	1.87	0
SHHP005	SHH	Schietveld Houthalen Hechteren	230159	194154	2	1	1	1	3	978	1.58	77.48	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	120	1	0	-1	4	2	77.92	2.17	0.3
SILP004	SIL	Silsombos	164843	178240	2	1	1	1	4	198	1.36	20.684	4	NA	NA	NA	3	2	NA	NA	NA	NA	NA	123	1	0	1	3	1	21.084	1.91	0.3
SNOP129	SNO	Snoekengracht	183331	169489	2	1	1	1	4	390	2.85	56.33	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	131	1	0	1	3	1	56.61	3.28	0.3
SWPP032	SWP	Scheldemeersen Wortegem-Petege	94675	169402	2	1	1	1	4	537	1.53	10.09	4	2010	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1	3	1	10.47	2.06	0.3
TEUP045	TEU	De Teut	225036	188792	2	1	1	1	3	722	0.89	62.007	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	134	1	0	1	3	1	62.697	1.73	0.3
TIEP026	TIE	Militair domein Tielen	189050	217720	2	1	1	1	1	1014	1.99	17.92	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	135	1	0	1	3	1	18.45	2.67	0.3
TLAP003	TLA	Terlaemen & Weijerman	214025	187912	2	1	1	1	1	694	1.31	32.583	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	138	1	0	-1	4	2	33.033	1.91	0.3
TORP018	TOR	Torfbroek	162023	179712	2	1	1	1	4	198	0.27	16.313	4	NA	NA	NA	3	2	NA	NA	NA	NA	NA	140	1	0	1	3	1	16.963	1.07	0.3
TYDP204	TYD	Ter Yde	33222	203448	2	1	1	1	4	817	1.79	5.51	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	150	1	0	1	3	1	5.6	2.13	0.5
UKPP029	UKP	Uitkerkse Polder	64241	219799	2	1	1	1	3	693	2	2.1	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	153	1	0	1	4	2	2.2	2.6	1
VDBP506	VDB	Vallei van de Drie Beken	202732	191923	2	1	1	1	3	438	1.46	21.73	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	156	1	0	1	4	2	22.02	1.9	0.3
VDBP513	VDB	Vallei van de Drie Beken	202202	191476	2	1	1	1	3	54	1.7	31.7	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	157	1	0	1	4	2	31.95	2.1	0.3
VDBP514	VDB	Vallei van de Drie Beken	202304	191370	2	1	1	1	2	438	1.62	21.53	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	158	1	0	1	3	1	21.76	2	0.3
VIEP117	VIE	Vierkensbroek-Demervallei	192297	188970	2	1	1	1	2	310	0.55	16.78	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	167	1	0	-1	4	2	16.91	0.83	0.3
VLBP001	VLB	Vlassenbroekse polder	134476	192715	2	1	1	1	3	169	1.35	1.66	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	173	1	0	1	3	1	2.69	2.68	0.6
VRIP013	VRI	Vrieselhof	166733	212477	2	1	1	1	1	918	1.61	7.83	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	179	1	0	1	4	2	8.16	2.09	0.3
VRLP010	VRL	Viersel	169399	208250	2	1	1	1	3	150	1.39	5.7	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	181	1	0	1	3	1	6.77	2.46	0
WAHP712	WAH	Waaslandhaven	144656	214876	2	1	1	1	2	41	1.59	1.712	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	183	1	0	-1	3	1	2.452	2.58	0.5
WALP118	WAL	Walenbos	186105	180248	2	1	1	1	4	934	1.61	25.422	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	184	1	0	1	4	2	25.702	2.04	0.3
WELP018	WEL	Wellemeersen	128284	176954	2	1	1	1	3	1017	2.48	8.86	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	188	1	0	-1	4	2	9.24	3.01	0.3
WELP035	WEL	Wellemeersen	129144	176660	2	1	1	1	3	505	1.51	9.06	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	192	1	0	-1	7	7	9.36	1.96	0.3
