unieknr	loc_code	x	y	rasterid	groupnr	ser_length	ser_firstyear	ser_lastyear	ser_nryears	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	n
154	MOLP023	166621	176753	454	4	5	2001	2005	5	1	1	1	1	5	1	0	5
155	MOLP024	166641	176739	454	4	5	2001	2005	5	1	1	1	1	5	1	0	5
156	MOLP025	166664	176724	454	4	5	2001	2005	5	1	1	1	1	5	1	0	5
157	MOSP001	210617	207077	630	1	9	2006	2014	9	1	1	1	1	3	1	0	3
158	MOSP003	210894	207017	630	1	9	2006	2014	9	1	1	1	1	3	1	0	3
159	MOSP004	210870	207068	630	1	9	2006	2014	9	1	1	1	1	3	1	0	3
160	MSBP001	194922	187284	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
161	MSBP002	194917	187270	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
162	MSBP003	194861	187151	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
163	MSBP006	194955	187335	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
164	MSBP007	194938	187299	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
165	MSBP008	194883	187199	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
166	MSBP009	194851	187121	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
167	MSBP010	195271	186803	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
168	MSBP013	195275	186651	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
169	MSBP014	195268	186601	54	2	NA	NA	0	0	1	1	1	1	9	1	0	9
170	NEIP001	128122	167393	57	4	NA	NA	0	0	1	1	1	1	2	1	0	2
171	NEIP002	128078	167410	57	4	NA	NA	0	0	1	1	1	1	2	1	0	2
172	NODP004	28636	200385	177	5	5	2002	2006	5	1	1	1	1	8	1	0	8
173	NODP006	27875	200717	177	5	5	2002	2006	5	1	1	1	1	8	1	0	8
174	NUCP001	120026	166333	217	3	NA	NA	0	0	1	1	1	1	8	1	0	8
175	NUCP004	119819	165933	217	3	NA	NA	0	0	1	1	1	1	8	1	0	8
176	NUCP005	120097	165667	217	3	NA	NA	0	0	1	1	1	1	8	1	0	8
177	ORCP002	139863	196974	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
178	ORCP003	139866	197010	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
179	ORCP011	139864	196932	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
180	ORCP012	139863	196973	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
181	ORCP013	139861	197002	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
182	OSKP026	51964	210700	113	5	7	2003	2009	5	1	1	1	1	2	1	0	2
183	OSKP038	54530	210938	113	5	7	2003	2009	5	1	1	1	1	2	1	0	2
184	OUSP001	138780	199540	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
185	PARP001	109868	163433	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
186	PARP002	109810	163492	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
187	PARP003	109730	163542	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
188	PARP004	109688	163551	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
189	PJEP005	56765	212264	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
190	PJEP006	56357	212476	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
191	RASP001	120085	162768	217	4	NA	NA	0	0	1	1	1	1	4	1	0	4
192	RASP002	120111	162861	217	4	NA	NA	0	0	1	1	1	1	4	1	0	4
193	RASP003	120002	163028	217	4	NA	NA	0	0	1	1	1	1	4	1	0	4
194	ROCP001	192515	196189	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
195	ROCP002	192495	196279	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
196	ROCP004	192569	196343	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
197	ROCP005	192562	196406	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
198	ROCP006	192560	196450	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
199	ROCP008	191942	197374	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
200	ROCP011	191779	197287	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
201	RODP002	167156	162286	262	2	NA	NA	0	0	1	1	1	1	9	1	0	9
202	RODP004	167301	162414	262	2	NA	NA	0	0	1	1	1	1	9	1	0	9
203	RODP005	167408	162470	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
204	RODP042	167156	162287	262	2	NA	NA	0	0	1	1	1	1	9	1	0	9
205	RODP055	167199	162280	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
206	RODP056	167200	162279	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
207	ROTP003	200403	185618	166	2	NA	NA	0	0	1	1	1	1	18	1	0	18
208	SANP006	216032	191815	694	1	NA	NA	0	0	1	1	1	1	4	1	0	4
209	SAUP003	140571	201273	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
210	SAUP004	140579	201399	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
211	SAUP005	142007	201371	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
212	SAUP006	142013	201247	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
213	SAUP008	141345	201073	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
214	SAUP009	141295	201308	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
215	SBBP002	109983	170962	89	4	NA	NA	0	0	1	1	1	1	5	1	0	5
216	SBEP001	38116	205439	817	5	12	2001	2012	12	1	1	1	1	3	1	0	1
217	SCPP021	204705	204248	886	3	7	2008	2014	7	1	1	1	1	13	1	0	8
218	SCPP024	206720	204096	886	3	7	2006	2012	7	1	1	1	1	13	1	0	1
219	SCPP025	206960	204244	886	2	6	2006	2011	6	1	1	1	1	3	1	0	1
220	SCPP027	205749	204186	886	1	6	2007	2012	5	1	1	1	1	3	1	0	1
221	SCPP033	205281	204334	886	3	7	2008	2014	7	1	1	1	1	13	1	0	8
222	SCPP034	205513	204333	886	2	7	2008	2014	7	1	1	1	1	3	1	0	2
223	SCPP035	205616	204216	886	3	7	2008	2014	7	1	1	1	1	13	1	0	8
224	SCPP036	205976	204000	886	3	7	2008	2014	7	1	1	1	1	13	1	0	8
225	SCPP039	206669	204706	886	3	7	2008	2014	7	1	1	1	1	13	1	0	8
226	SCPP040	206707	204679	886	3	7	2008	2014	7	1	1	1	1	13	1	0	8
227	SCPP042	205315	204593	886	3	7	2008	2014	7	1	1	1	1	13	1	0	8
228	SCPP043	207040	205023	886	2	7	2008	2014	7	1	1	1	1	3	1	0	2
229	SCPP045	206476	204589	886	1	7	2008	2014	7	1	1	1	1	3	1	0	1
230	SCPP047	206640	204635	886	3	7	2008	2014	6	1	1	1	1	13	1	0	1
231	SCPP050	207566	205767	886	3	7	2008	2014	7	1	1	1	1	13	1	0	8
232	SHHP032	226069	192196	722	3	9	2008	2016	7	1	1	1	1	4	1	0	1
233	SNOP022	183102	169452	390	4	NA	NA	0	0	1	1	1	1	8	1	0	8
234	SNOP025	183238	169448	390	4	NA	NA	0	0	1	1	1	1	8	1	0	8
235	SNOP028	183331	169488	390	4	NA	NA	0	0	1	1	1	1	8	1	0	8
236	SNOP029	183348	169465	390	4	NA	NA	0	0	1	1	1	1	8	1	0	8
237	SNOP031	183313	169446	390	4	NA	NA	0	0	1	1	1	1	8	1	0	8
238	SNOP032	183056	169524	390	4	NA	NA	0	0	1	1	1	1	8	1	0	8
239	SNOP033	183103	169551	390	4	NA	NA	0	0	1	1	1	1	8	1	0	8
240	SNOP129	183331	169489	390	4	NA	NA	0	0	1	1	1	1	8	1	0	8
241	STAP050	242727	208039	146	1	8	2009	2016	8	1	1	1	1	2	1	0	1
242	SWEP004	57388	213820	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
243	TEUP019	222593	189365	722	3	5	2010	2014	5	1	1	1	1	4	1	0	1
244	TEUP026	224931	188926	722	3	9	2008	2016	9	1	1	1	1	4	1	0	1
245	TEUP043	223696	188700	722	1	10	2007	2016	10	1	1	1	1	4	1	0	1
246	TEUP044	223773	188744	722	1	9	2008	2016	9	1	1	1	1	4	1	0	2
247	TEUP045	225036	188792	722	3	7	2008	2014	7	1	1	1	1	4	1	0	1
248	TEUP046	225067	188690	722	1	9	2008	2016	7	1	1	1	1	4	1	0	1
249	TEUP047	225211	188652	722	1	9	2008	2016	9	1	1	1	1	4	1	0	2
250	TIEP013	188220	218314	1014	1	NA	NA	0	0	1	1	1	1	3	1	0	3
251	TIEP026	189050	217720	1014	1	NA	NA	0	0	1	1	1	1	3	1	0	3
252	TIEP028	187768	217760	1014	1	NA	NA	0	0	1	1	1	1	3	1	0	3
253	TLAP001	213998	188072	694	1	NA	NA	0	0	1	1	1	1	4	1	0	4
254	TLAP002	214024	187912	694	1	NA	NA	0	0	1	1	1	1	4	1	0	4
255	TLAP003	214025	187912	694	1	NA	NA	0	0	1	1	1	1	4	1	0	4
256	TLAP004	214019	187879	694	3	NA	NA	0	0	1	1	1	1	4	1	0	4
257	TRIP001	108233	161429	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
258	TRIP002	108251	161454	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
259	TVGP043	189364	226376	46	5	NA	NA	0	0	1	1	1	1	3	1	0	3
260	TYDP004	33126	203530	817	4	9	2004	2012	7	1	1	1	1	13	1	0	4
261	TYDP012	33155	203402	817	4	9	2004	2012	8	1	1	1	1	13	1	0	1
262	TYDP031	33253	203328	817	5	9	2004	2012	8	1	1	1	1	3	1	0	1
263	TYDP050	32403	204128	817	5	12	2001	2012	10	1	1	1	1	3	1	0	1
264	TYDP055	32743	203672	817	4	12	2001	2012	10	1	1	1	1	13	1	0	3
265	TYDP057	32283	204089	817	4	12	2001	2012	10	1	1	1	1	13	1	0	3
266	TYDP058	32486	203672	817	4	12	2001	2012	10	1	1	1	1	13	1	0	3
267	TYDP059	32669	203788	817	4	10	2001	2010	9	1	1	1	1	13	1	0	2
268	TYDP071	33667	203943	817	4	6	2003	2008	6	1	1	1	1	13	1	0	1
269	TYDP072	33571	203880	817	4	10	2001	2010	9	1	1	1	1	13	1	0	2
270	TYDP203	33046	203477	817	4	8	2005	2012	6	1	1	1	1	13	1	0	2
271	TYDP204	33222	203448	817	4	8	2005	2012	7	1	1	1	1	13	1	0	4
272	TYDP206	33673	203910	817	4	8	2005	2012	7	1	1	1	1	13	1	0	4
273	TYDP207	33614	203986	817	4	8	2005	2012	7	1	1	1	1	13	1	0	4
274	TYDP211	32561	203740	817	4	7	2006	2012	6	1	1	1	1	13	1	0	2
275	UKPP010	62897	219857	437	5	NA	NA	0	0	1	1	1	1	4	1	0	4
276	UKPP018	62808	222365	437	5	NA	NA	0	0	1	1	1	1	4	1	0	4
277	UKPP022	62810	221027	437	5	NA	NA	0	0	1	1	1	1	4	1	0	4
278	UKPP024	64131	220125	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
279	UKPP026	64020	221053	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
280	UKPP027	63740	220993	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
281	UKPP029	64241	219799	693	3	NA	NA	0	0	1	1	1	1	18	1	0	18
282	UKPP030	63295	219347	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
283	UKPP032	63399	220470	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
284	UKPP033	63326	220765	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
285	UKPP034	63040	221589	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
286	UKPP039	63031	220174	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
287	UKPP041	62079	221594	437	5	NA	NA	0	0	1	1	1	1	4	1	0	4
288	VDBP004	198401	189278	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
289	VDBP006	197919	190065	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
290	VDBP009	203293	191869	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
291	VDBP010	203247	191935	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
292	VDBP011	203554	192681	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
293	VDBP018	202838	192210	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
294	VDBP019	202833	192220	438	3	NA	NA	0	0	1	1	1	1	17	1	0	17
295	VDBP023	202886	192471	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
296	VDBP024	202735	192560	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
297	VDBP025	202703	192573	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
298	VDBP026	202693	192575	438	2	NA	NA	0	0	1	1	1	1	8	1	0	8
