loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat
SCPP039	SCP	Scheps	206669	204706	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.7	30.8	13	2008	2014	7	3
SCPP040	SCP	Scheps	206707	204679	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.35	31.331	13	2008	2014	7	3
SCPP042	SCP	Scheps	205315	204593	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.41	29.69	13	2008	2014	7	3
SCPP043	SCP	Scheps	207040	205023	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	886	0.87	30.89	12	2008	2014	7	3
SCPP045	SCP	Scheps	206476	204589	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	886	1.83	30.55	11	2004	2014	8	3
SCPP047	SCP	Scheps	206640	204635	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.4	31.651	13	2008	2014	6	3
SCPP050	SCP	Scheps	207566	205767	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.52	31.827	13	2008	2014	7	3
SCPP051	SCP	Scheps	206919	205056	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	886	1.99	31.147	12	2011	2014	4	3
SHHP031	SHH	Schietveld Houthalen Hechteren	226046	192220	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	722	1.04	76.69	13	2009	2016	5	3
SHHP032	SHH	Schietveld Houthalen Hechteren	226069	192196	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	722	1.51	76.75	13	2008	2016	7	3
SNOP022	SNO	Snoekengracht	183102	169452	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	1.56	57.54	14	NA	NA	0	3
SNOP025	SNO	Snoekengracht	183238	169448	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	1.02	56.63	14	NA	NA	0	3
SNOP028	SNO	Snoekengracht	183331	169488	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	1.24	56.62	14	NA	NA	0	3
SNOP029	SNO	Snoekengracht	183348	169465	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	1.17	56.49	14	NA	NA	0	3
SNOP031	SNO	Snoekengracht	183313	169446	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	0.91	56.65	14	NA	NA	0	3
SNOP032	SNO	Snoekengracht	183056	169524	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	2.05	58.18	14	NA	NA	0	3
SNOP033	SNO	Snoekengracht	183103	169551	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	1.77	58.25	14	NA	NA	0	3
SNOP129	SNO	Snoekengracht	183331	169489	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	390	3	56.61	14	NA	NA	0	3
STAP050	STA	Stamprooierbroek incl de Zig &	242727	208039	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	146	1.98	33.223	11	2001	2016	9	3
SWPP032	SWP	Scheldemeersen Wortegem-Petege	94675	169402	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	537	1.68	10.47	14	2010	2010	1	2
