jaar	mean	p02.5	p50	p97.5	simulatienr	groep3n
1988	36.23363108804	28.6660886370008	36.1676966861977	46.291995585207	9	2
1988	26.7638754096753	20.1943588378917	26.6894670422571	36.0499167523349	9	3
1988	23.2724180810813	18.6483648699151	23.2339213816258	29.3264494087051	9	4
1988	40.1615554852867	31.6500230707077	40.085824755542	51.5316795946408	10	2
1988	18.4120413135352	13.7679316533889	18.3573412308727	25.0524186213954	10	3
1988	25.1277704056333	20.1964684925643	25.0865108650292	31.566079749173	10	4
1988	39.3771257623528	30.9185880220697	39.3006303218758	50.7270406759409	11	2
1988	29.1077655999471	22.04518609555	29.0243544874605	39.0793122718709	11	3
1988	23.4328216325179	18.7851518480901	23.3945101250217	29.5120526514371	11	4
1988	34.4659020034017	26.7893804207787	34.3996314746318	44.8453409570224	12	2
1988	33.8053272518938	25.5582504579909	33.7040292835344	45.4989841442374	12	3
1988	25.5802742828985	20.4557882126128	25.5354449154593	32.3204427532546	12	4
1988	39.2444188927605	31.1006687008658	39.1747906225277	50.0399150880108	13	2
1988	28.5733674953031	21.508928918084	28.4924152317456	38.5896486772111	13	3
1988	20.124269411551	16.1452024640106	20.0945545403349	25.3004848221072	13	4
1988	39.9349374123692	31.4397150474729	39.8611144302483	51.28054351604	14	2
1988	28.9724143098454	21.7042508541829	28.8846819338214	39.3615317874395	14	3
1988	30.5188450397565	24.6350439008949	30.4675194701429	38.1843850460347	14	4
1988	37.4237619212581	29.7716851081717	37.3587471892367	47.5253669678883	15	2
1988	19.1073391116208	14.5002838720784	19.059032188222	25.553306247764	15	3
1988	28.2584513243872	22.7331687768984	28.2106236649634	35.4784313251188	15	4
1988	38.7006826013432	30.7057119526987	38.6323075615765	49.2865314628459	16	2
1988	22.2117744624811	16.6583780409508	22.1477160308228	30.1181328858147	16	3
1988	20.9910809737946	16.7218244662369	20.9559361673525	26.6102882566954	16	4
1988	36.3895396784498	28.6391567633212	36.3223803830221	46.7418101127766	17	2
1988	34.0841069713749	25.8166335050984	33.9906681387254	45.7239428577806	17	3
1988	33.7464523976157	27.1634858282428	33.6863320418426	42.3670470935962	17	4
1988	33.7146700408951	26.6382350981059	33.652247325384	43.1387613890474	18	2
1988	31.7493765972518	24.2715778429345	31.663949596446	42.1876047474401	18	3
1988	21.8639592692755	17.5049444527641	21.8287620802956	27.5671107786699	18	4
1988	46.5102792205461	36.7411154361596	46.423093099517	59.5317080306493	19	2
1988	42.7341726410114	32.8513257453165	42.618246022297	56.4752700427304	19	3
1988	29.7601723619538	24.0486956782294	29.7113440653499	37.1853170797858	19	4
1988	40.7827151668524	32.0391495341827	40.7036652432508	52.5085055298281	20	2
1988	29.5042418769983	22.5376712265846	29.4223022427234	39.2538876295384	20	3
1988	21.5244884268983	17.3270357761086	21.4919584483359	26.9757942566365	20	4
1989	127.180281659416	102.08243407031	126.893682219255	160.54293791035	1	2
1989	150.412016736607	116.29327044275	149.938270895227	198.11593405068	1	3
1989	150.589034267845	123.289863806346	150.315295000764	185.902726741627	1	4
1989	130.097746395244	104.69687949929	129.814040526714	163.730589689922	2	2
1989	154.103654865944	118.99448930587	153.622261130223	203.210741640674	2	3
1989	147.739333192153	119.898195648367	147.443798710786	184.186196440691	2	4
1989	128.190911425096	103.656134718087	127.925413613654	160.462353313821	3	2
1989	160.564832418804	125.149738731131	160.096433291859	209.512024289984	3	3
1989	151.530259854164	123.523488815939	151.240606129873	187.978020112944	3	4
1989	127.353934450134	101.68456064752	127.049965413022	161.733393073192	4	2
1989	145.823264117103	113.613910054965	145.398432369563	190.349219116403	4	3
1989	148.526355755474	121.003941623419	148.241196001983	184.368378310637	4	4
1989	127.209344097933	103.081863135981	126.950078400631	158.864801602416	5	2
1989	164.756807178247	128.29441277892	164.273740111705	215.205884676175	5	3
1989	148.307226411998	120.958075287162	148.026401141506	183.866964121828	5	4
1989	127.972126176269	102.971936185581	127.694447852078	161.068395747875	6	2
1989	150.59968366429	117.315386144186	150.159708992412	196.626818319111	6	3
1989	146.052205159664	119.319426915258	145.781261207641	180.727519931493	6	4
1989	128.055320879279	103.154485486235	127.778160306126	160.986738550324	7	2
1989	156.674200616366	121.31673759404	156.190669469314	205.981698917859	7	3
1989	146.1974798867	118.009270090154	145.89009242586	183.355761651375	7	4
1989	128.363941339752	103.557432328794	128.091578765685	161.095737736587	8	2
1989	153.95570389016	119.320039978534	153.487919129294	202.169110619319	8	3
1989	147.267650912623	119.480898313201	146.972631742947	183.654363689752	8	4
1989	129.763417219784	105.049576507101	129.49664847401	162.227799419131	9	2
1989	151.932789934651	118.276815167474	151.48453932945	198.528866719073	9	3
1989	152.467161912418	124.655038646138	152.184347772517	188.521317981593	9	4
1989	128.425724232935	103.385688970832	128.146230017249	161.568558414348	10	2
1989	156.627585412264	120.902565353765	156.135643514933	206.628121751519	10	3
1989	150.35799346988	123.142832524029	150.084872302446	185.552588009333	10	4
1989	124.265692801662	99.6300885999605	123.985601074561	157.042772215696	11	2
1989	149.662971641688	116.185654780634	149.214816726228	196.158006207544	11	3
1989	151.789788904683	124.305789373245	151.51396446329	187.334750732372	11	4
1989	128.654639274402	103.552252211988	128.369651557915	161.918651151241	12	2
1989	165.178525445676	127.474909552217	164.657156370429	217.976787417465	12	3
1989	152.714966415647	124.462386964086	152.422895600472	189.489805425328	12	4
1989	123.000798970307	99.4890072158303	122.747116849807	153.912561278625	13	2
1989	150.434202883188	116.789438762488	149.981838402597	197.174458161143	13	3
1989	151.676949057231	124.903505558874	151.417702083707	186.046487325122	13	4
1989	130.246010536289	104.843191128119	129.959531214371	163.891849485709	14	2
1989	154.80301297641	119.12849497638	154.303348842601	204.949325131903	14	3
1989	151.565423880194	124.081419033764	151.288238334756	187.131357144073	14	4
1989	126.36289226916	102.567367342548	126.111755890113	157.498778729868	15	2
1989	164.542689885688	129.542512386469	164.102785272038	212.267299331048	15	3
1989	148.617457557692	121.517526359562	148.343114486613	183.737115594076	15	4
1989	129.947041814457	105.411326805072	129.684871165625	162.093515452084	16	2
1989	155.238832294807	120.596643824762	154.775631030647	203.314611447466	16	3
1989	145.771733785976	118.953387381374	145.497519942077	180.614735871203	16	4
1989	128.564228020212	103.856884370644	128.29179139918	161.129394190725	17	2
1989	153.193478498087	119.23157340053	152.740524810966	200.228563740115	17	3
1989	152.737520092988	124.600719933642	152.447573596381	189.319777532408	17	4
1989	129.613673565671	104.856069513055	129.346872609636	162.155092726946	18	2
