loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
WERP011	WER	De Werft	193419	194740	2	1	1	1	1	822	1.48	0	11	2008	2011	3	3	3	1	0.42	1.9	0
WERP012	WER	De Werft	192332	194448	2	1	1	1	1	822	2.21	0	11	2008	2009	2	3	3	1	0.11	2.32	0
WESP001	WES	Westhoek	23482	199360	2	1	1	1	4	177	1.02	5.35	14	2008	2015	7	3	3	1	5.45	1.37	0.5
WESP078	WES	Westhoek	23436	199686	2	1	1	1	4	177	2.77	6.41	14	2008	2015	8	3	3	1	6.41	3.02	0.5
ZABP004	ZAB	Zammelsbroek	191712	198448	2	1	1	1	3	822	1.6	14.78	13	2002	2019	5	3	3	1	15.47	2.49	0.4
ZABP006	ZAB	Zammelsbroek	191153	198420	2	1	1	1	3	822	2.97	14.529	13	2002	2019	4	3	3	1	14.989	3.58	0.3
ZABP022	ZAB	Zammelsbroek	193188	199206	2	1	1	1	1	822	1.05	15.76	11	2009	2009	1	3	3	1	16.05	1.54	0.4
ZEBP001	ZEB	Zeebrugge	68884	222381	2	1	1	1	3	693	0.465	2.91	13	2011	2011	1	3	3	1	3.22	0.925	0.3
ZEBP003	ZEB	Zeebrugge	69183	221033	2	1	1	1	3	693	0.83	2.68	13	2011	2011	1	3	3	1	2.91	1.21	0.3
ZEBP005	ZEB	Zeebrugge	69921	220751	2	1	1	1	3	693	1.66	2.57	13	2011	2011	1	3	3	1	2.99	2.08	0
ZEBP009	ZEB	Zeebrugge	69111	219114	2	1	1	1	2	693	1.92	3.02	12	NA	NA	0	3	3	1	3.6	3	1
ZEBP012	ZEB	Zeebrugge	69544	221380	2	1	1	1	3	693	1	2.6	13	2011	2011	1	3	4	2	3.1	2	1
ZEBP019	ZEB	Zeebrugge	69725	220669	2	1	1	1	3	693	0.5	2.63	13	2011	2011	1	3	3	1	3.06	1.43	1
ZEBP025	ZEB	Zeebrugge	69823	220300	2	1	1	1	3	693	0.5	2.51	13	2011	2011	1	3	4	2	2.94	1.43	1
ZEBP045	ZEB	Zeebrugge	69280	220151	2	1	1	1	3	693	0.5	2.6408	13	2014	2014	1	3	3	1	3.2408	1.6	1
ZEBP046	ZEB	Zeebrugge	69422	220210	2	1	1	1	3	693	0.5	2.6282	13	2014	2014	1	3	3	1	3.3782	1.75	1
ZEBP107	ZEB	Zeebrugge	65882	224517	2	1	1	1	2	693	1.795	5.83	12	NA	NA	0	3	3	1	5.83	2.045	0.5
ZIEP022	ZIE	Ziepbeekvallei	238643	180318	2	1	1	1	3	1010	0.57	68.515	13	2006	2017	10	3	3	1	68.945	1.15	0.3
ZIEP066	ZIE	Ziepbeekvallei	239204	181332	2	1	1	1	3	1010	0.89	55.95	13	2005	2017	13	3	3	1	56.32	1.76	1
ZIEP166	ZIE	Ziepbeekvallei	239204	181332	2	1	1	1	3	1010	3	55.939	13	2005	2017	13	3	3	1	56.289	4.35	2
ZIEP179	ZIE	Ziepbeekvallei	239177	180268	2	1	1	1	3	1010	1.52	56.114	13	2007	2017	9	3	4	2	56.494	2.4	1
ZUVP019	ZUV	Zuunvallei	142606	164589	2	1	1	1	4	441	2	23.92	14	NA	NA	0	3	5	4	24.47	3.05	1
ZUVP020	ZUV	Zuunvallei	142603	164595	2	1	1	1	4	441	2	23.58	14	NA	NA	0	3	5	4	24	2.92	1
ZWAP141	ZWA	Zwarte Beek	216785	198435	2	1	1	1	1	950	1.96	52.52	11	2007	2018	12	3	3	1	52.86	2.45	0.3
ZWAP165	ZWA	Zwarte Beek	216814	198362	2	1	1	1	1	950	0.75	52.41	11	2007	2018	12	3	3	1	52.86	1.35	0.3
ZWAP196	ZWA	Zwarte Beek	214282	197080	2	1	1	1	1	950	0.91	42.28	11	2007	2018	12	3	3	1	42.72	1.5	0.3
ZWAP200	ZWA	Zwarte Beek	217985	197987	2	1	1	1	1	950	1.74	63.003	11	2005	2018	14	3	3	1	63.663	2.55	0.3
ZWAP202	ZWA	Zwarte Beek	220114	197295	2	1	1	1	3	210	2.05	68.26	13	2004	2018	14	3	3	1	68.78	2.72	0.3
ZWAP208	ZWA	Zwarte Beek	218005	198226	2	1	1	1	1	950	1.1	59.288	11	2004	2017	14	3	3	1	59.938	1.9	0.3
ZWAP216	ZWA	Zwarte Beek	218514	198727	2	1	1	1	1	950	1.14	57.93	11	2004	2018	12	3	1	6	58.78	2.14	0.3
ZWAP228	ZWA	Zwarte Beek	217381	197149	2	1	1	1	3	950	1.14	63.265	13	2004	2017	10	3	3	1	63.655	1.68	0.3
ZWAP229	ZWA	Zwarte Beek	220479	196611	2	1	1	1	3	210	2.04	70.19	13	2007	2018	12	3	3	1	70.5	2.5	0.3
ZWAP234	ZWA	Zwarte Beek	217054	198920	2	1	1	1	3	950	1.1	57.699	13	2008	2019	9	3	3	1	58.209	1.76	0.3
ZWAP300	ZWA	Zwarte Beek	213086	204149	2	1	1	1	3	630	0.815	44.593	13	2013	2018	5	3	3	1	45.208	1.58	0.3
ZWAP301	ZWA	Zwarte Beek	213467	203688	2	1	1	1	3	630	0.94	47.298	13	2013	2018	5	3	3	1	47.738	1.63	0.5
ZWAP303	ZWA	Zwarte Beek	213435	204022	2	1	1	1	3	630	0.8	45.684	13	2015	2015	1	3	3	1	46.214	1.58	0.5
ZWAP305	ZWA	Zwarte Beek	214503	203705	2	1	1	1	3	630	1.27	49.791	13	2015	2018	4	3	3	1	50.271	2	0.5
ZWAP306	ZWA	Zwarte Beek	215123	203590	2	1	1	1	3	630	1.11	51.375	13	2015	2018	3	3	3	1	51.915	1.9	0.5
ZWAP308	ZWA	Zwarte Beek	215833	205216	2	1	1	1	3	630	0.66	49.39	13	2017	2018	2	3	3	1	50.03	1.45	0.3
