loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	typegroup_name	source	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
ABEP122	ABE	Abeek	240978	209184	2	1	1	1	514483_v2018	100% 91E0_vm	100	1	91E0_vm	1	146	23208	2.15	33.53	100% 91E0_vm	5	1	3	1	33.88	3	1
ABEP126	ABE	Abeek	239178	208571	2	1	1	1	550405_v2018	100% 91E0_vm	100	1	91E0_vm	1	146	13756	1.44	34.88	100% 91E0_vm	5	1	3	1	35.89	2.95	1
ABEP130	ABE	Abeek	243072	207172	1	2	1	1	550152_v2018	50% 91E0_vm; 50% 9190	50	1	9190	5	146	52370	2.17	32.41	50% 91E0_vm; 50% 9190	1	1	3	1	33.64	3.9	1
ABEP130	ABE	Abeek	243072	207172	1	2	1	1	550152_v2018	50% 91E0_vm; 50% 9190	50	1	91E0_vm	1	146	52370	2.17	32.41	50% 91E0_vm; 50% 9190	5	1	3	1	33.64	3.9	1
ABEP131	ABE	Abeek	243044	207218	2	1	1	1	550152_v2018	50% 91E0_vm; 50% 9190	50	1	9190	5	146	52370	1.92	32.2	50% 91E0_vm; 50% 9190	1	1	3	1	32.78	3	1
ABEP131	ABE	Abeek	243044	207218	2	1	1	1	550152_v2018	50% 91E0_vm; 50% 9190	50	1	91E0_vm	1	146	52370	1.92	32.2	50% 91E0_vm; 50% 9190	5	1	3	1	32.78	3	1
ABEP133	ABE	Abeek	245756	206792	1	2	1	1	609597_v2018	100% rbbmr	100	1	rbbmr	2	402	6334	2.18	32.07	100% rbbmr	3	1	3	1	33.33	3.94	1
AHRP007	AHR	Antwerpse haven rechteroever	145765	225074	2	1	1	1	550470_v2016	80% gh; 20% rbbmr	20	1	rbbmr	2	957	59882	1.699	3.359	80% gh; 20% rbbmr	3	1	3	1	3.759	2.099	0
AHRP008	AHR	Antwerpse haven rechteroever	145766	225074	2	1	1	1	550470_v2016	80% gh; 20% rbbmr	20	1	rbbmr	2	957	59882	2.152	3.412	80% gh; 20% rbbmr	3	1	3	1	3.692	2.432	0
AHRP009	AHR	Antwerpse haven rechteroever	145901	224859	2	1	1	1	550470_v2016	80% gh; 20% rbbmr	20	1	rbbmr	2	957	59882	2.048	3.638	80% gh; 20% rbbmr	3	1	3	1	3.938	2.348	0
AHRP010	AHR	Antwerpse haven rechteroever	145900	224859	2	1	1	1	550470_v2016	80% gh; 20% rbbmr	20	1	rbbmr	2	957	59882	2.993	3.823	80% gh; 20% rbbmr	3	1	3	1	4.033	3.203	0
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	2	1	1	1	659245_v2014	100% 91E0_va	100	1	91E0_va	4	601	8585	1.44	13.9	100% 91E0_va	4	1	4	2	14.68	2.37	0.3
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	651807_v2014	100% 91E0_va	100	1	91E0_va	4	601	13491	1.05	13.42	100% 91E0_va	4	1	4	2	13.8	1.58	0.3
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	1	628668_v2014	100% 9130_end	100	1	9130_end	4	601	28575	0.7	17.63	100% 9130_end	4	1	4	2	18.33	1.55	0.3
ARHP009	ARH	Aronst Hoek	203834	177051	1	2	1	1	628374_v2014	70% rbbmr; 30% gh	70	1	rbbmr	2	486	35033	1.95	24.01	70% rbbmr; 30% gh	3	1	6	3	24.31	2.4	0.3
ARHP010	ARH	Aronst Hoek	203804	177070	1	2	1	1	628374_v2014	70% rbbmr; 30% gh	70	1	rbbmr	2	486	35033	2.15	23.791	70% rbbmr; 30% gh	3	1	6	3	24.191	2.7	0.3
ARHP011	ARH	Aronst Hoek	203778	177234	1	2	1	1	584417_v2014	80% gh; 20% rbbmr	20	1	rbbmr	2	486	66975	1.85	23.813	80% gh; 20% rbbmr	3	1	6	3	24.143	2.33	0.3
ARHP013	ARH	Aronst Hoek	203744	177259	1	2	1	1	584417_v2014	80% gh; 20% rbbmr	20	1	rbbmr	2	486	66975	2.15	24.097	80% gh; 20% rbbmr	3	1	6	3	24.407	2.61	0.3
ASBP001	ASB	Asbeek	238494	179477	2	1	1	1	650341_v2014	70% 91E0_vo; 30% rbbsm	70	1	91E0_vo	1	1010	31562	0.81	71.477	70% 91E0_vo; 30% rbbsm	5	1	3	1	71.947	1.43	0.3
ASBP001	ASB	Asbeek	238494	179477	2	1	1	1	650341_v2014	70% 91E0_vo; 30% rbbsm	30	1	rbbsm	3	1010	31562	0.81	71.477	70% 91E0_vo; 30% rbbsm	2	1	3	1	71.947	1.43	0.3
ASBP002	ASB	Asbeek	238407	179495	2	1	1	1	649984_v2014	65% 6230_hmo; 35% 4010	35	1	4010	3	1010	1518	0.91	68.439	65% 6230_hmo; 35% 4010	2	1	3	1	68.959	1.58	0.3
ASBP002	ASB	Asbeek	238407	179495	2	1	1	1	649984_v2014	65% 6230_hmo; 35% 4010	65	1	6230_hmo	4	1010	1518	0.91	68.439	65% 6230_hmo; 35% 4010	4	1	3	1	68.959	1.58	0.3
ASBP002	ASB	Asbeek	238407	179495	2	1	1	1	650478_v2014	70% 91E0_vo; 30% rbbsm	70	1	91E0_vo	1	1010	5761	0.91	68.439	70% 91E0_vo; 30% rbbsm	5	1	3	1	68.959	1.58	0.3
ASBP002	ASB	Asbeek	238407	179495	2	1	1	1	650478_v2014	70% 91E0_vo; 30% rbbsm	30	1	rbbsm	3	1010	5761	0.91	68.439	70% 91E0_vo; 30% rbbsm	2	1	3	1	68.959	1.58	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	649883_v2014	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	10	1	6230_hmo	4	1010	67966	0.95	75.391	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	4	1	3	1	75.931	1.64	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	649883_v2014	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	10	1	7140_meso	1	1010	67966	0.95	75.391	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	5	1	3	1	75.931	1.64	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	649883_v2014	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	60	1	rbbhc	3	1010	67966	0.95	75.391	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	2	1	3	1	75.931	1.64	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	649883_v2014	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	20	1	rbbmc	2	1010	67966	0.95	75.391	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	3	1	3	1	75.931	1.64	0.3
ASBP004	ASB	Asbeek	239164	178996	2	1	1	1	586052_v2014	70% gh; 30% 91E0_vo	30	1	91E0_vo	1	1010	7925	1.36	74.604	70% gh; 30% 91E0_vo	5	1	3	1	74.884	1.84	0.4
ASBP012	ASB	Asbeek	238460	179804	2	1	1	1	662399_v2014	70% 91E0_vo; 30% rbbsm	70	1	91E0_vo	1	1010	12887	1.66	72.57	70% 91E0_vo; 30% rbbsm	5	1	3	1	73.01	2.25	0.3
ASBP012	ASB	Asbeek	238460	179804	2	1	1	1	662399_v2014	70% 91E0_vo; 30% rbbsm	30	1	rbbsm	3	1010	12887	1.66	72.57	70% 91E0_vo; 30% rbbsm	2	1	3	1	73.01	2.25	0.3
ASBP013	ASB	Asbeek	238508	179714	2	1	1	1	649887_v2014	60% 91E0_vo; 20% 9190; 10% rbbsm; 10% rbbmr	20	1	9190	5	1010	15467	1.63	68.851	60% 91E0_vo; 20% 9190; 10% rbbsm; 10% rbbmr	1	1	3	1	69.301	2.23	0.3
ASBP013	ASB	Asbeek	238508	179714	2	1	1	1	649887_v2014	60% 91E0_vo; 20% 9190; 10% rbbsm; 10% rbbmr	60	1	91E0_vo	1	1010	15467	1.63	68.851	60% 91E0_vo; 20% 9190; 10% rbbsm; 10% rbbmr	5	1	3	1	69.301	2.23	0.3
