loc_code	x	y	target_groupnr	description	type	certain	phab	groupnr	group_name	type_name	type_shortname	typeclass_name	selectie	typelevel	main_type	typeclass	hydr_class	hydr_class_name	hydr_class_shortname	groundw_dep	groundw_dep_name	groundw_dep_shortname	flood_dep	flood_dep_name	flood_dep_shortname	tag_1	tag_1_name	tag_1_shortname	tag_2	tag_2_name	tag_2_shortname	tag_3	tag_3_name	tag_3_shortname
MATP011	225382	182289	3	50% 4010; 40% 4030; 10% rbbsm	rbbsm	1	10	3	2	41	41	5	1	1	27	5	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOEP030	116473	166514	3	90% 91E0_vn; 10% 91E0_vc	91E0_vc	1	10	1	5	103	103	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOEP030	116473	166514	3	90% 91E0_vn; 10% 91E0_vc	91E0_vn	1	90	3	2	105	105	10	1	2	58	10	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOLP023	166621	176753	4	100% 91E0_va	91E0_va	1	100	4	4	102	102	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOMP003	217918	175452	3	60% rbbhf; 30% 6510_hu; 10% rbbmc	rbbhf	1	60	3	2	69	69	7	1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOMP003	217918	175452	3	60% rbbhf; 30% 6510_hu; 10% rbbmc	rbbmc	1	10	2	3	87	87	8	1	1	48	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOMP028	222496	174765	3	100% 6430_hf,rbbhf	6430_hf	0	100	3	2	59	59	7	-1	2	33	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOMP028	222496	174765	3	100% 6430_hf,rbbhf	rbbhf	0	100	3	2	69	69	7	-1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOSP015	212551	207735	1	50% 91E0_vm; 50% 91E0_vo	91E0_vm	1	50	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOSP015	212551	207735	1	50% 91E0_vm; 50% 91E0_vo	91E0_vo	1	50	1	5	106	106	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSBP007	194938	187299	2	60% rbbmr; 20% 6430_hf,rbbhf,bos; 20% gh	6430_hf	0	20	3	2	59	59	7	-1	2	33	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
