mean	sd	p02.5	p50	p97.5	jaar	simulatienr	intercept
3.67990684509277	0.0596284158527851	3.56353618757265	3.67965382657041	3.79764764005653	2006	13	3.72119665145874
3.66014790534973	0.0605353787541389	3.54111939094966	3.66024610812649	3.77866341690465	2006	14	3.70295977592468
3.6719913482666	0.0579772405326366	3.55804013562567	3.6720284480201	3.78576411158139	2006	15	3.71337366104126
3.65606594085693	0.0584313161671162	3.54172293843558	3.65591403369874	3.77124774276041	2006	16	3.70851516723633
3.67433834075928	0.0581541955471039	3.55985185947507	3.67446284477441	3.78817909301694	2006	17	3.71745824813843
3.65773463249207	0.0623028874397278	3.53730064698639	3.65705729000053	3.78209131607616	2006	18	3.67099618911743
3.67071485519409	0.0568614527583122	3.55849299688485	3.67092379241376	3.78175883910843	2006	19	3.72992753982544
3.6513557434082	0.0573701895773411	3.53833688931994	3.65148604814446	3.76368302665278	2006	20	3.7100567817688
3.70562648773193	0.057246558368206	3.59277980530367	3.70580150394162	3.81747738978653	2007	1	3.7223174571991
3.6745285987854	0.0589795596897602	3.55995000179383	3.67413757477594	3.79145591538072	2007	2	3.70737457275391
3.69084048271179	0.0584425367414951	3.57572593771291	3.69098415804557	3.80520819820682	2007	3	3.71592688560486
3.686607837677	0.0580710805952549	3.57113781679654	3.68713296900038	3.79921561302483	2007	4	3.69567036628723
3.65674996376038	0.0575913898646832	3.54325985409531	3.6568937648932	3.76945741456844	2007	5	3.69287395477295
3.70237588882446	0.059013444930315	3.58598600297847	3.70256677814071	3.81770189543734	2007	6	3.72149610519409
3.69409537315369	0.0585897974669933	3.57859852398213	3.69426542006911	3.80867610412129	2007	7	3.71941351890564
3.70448064804077	0.0577112771570683	3.59063541359877	3.70466487738407	3.81734052922574	2007	8	3.73004460334778
3.65994262695312	0.0596108287572861	3.54372641015017	3.65966375070228	3.77779245481203	2007	9	3.67714214324951
3.65487790107727	0.0559133999049664	3.54338057178453	3.65546636081686	3.76314864392646	2007	10	3.70199537277222
3.68833565711975	0.061846736818552	3.56894878114277	3.68759171424369	3.81196109205522	2007	11	3.68804025650024
3.70177268981934	0.0648075491189957	3.57758944653776	3.70063720570478	3.83251535562109	2007	12	3.68760991096497
3.7020103931427	0.0595800392329693	3.58574334180287	3.70175866245736	3.81964180170329	2007	13	3.72119665145874
3.68165111541748	0.0600275620818138	3.56341104495523	3.68180995464389	3.79902742638471	2007	14	3.70295977592468
