jaar,gem_jaar,og_jaar_trend,bg_jaar_trend,aantal dagen onder kritisch minimum,og_jaar_indicator,bg_jaar_indicator,tijdvenster
2014,28.542614884668644,24.923575143900862,32.68715903520252,21.10603448275862,16.69400256611317,25.51806639940407,2
2015,30.65575656191295,26.936231535169533,34.88889710337701,41.16293103448276,35.38997348630909,46.93588858265643,2
2016,34.86616014801974,30.27614765373196,40.152041051283284,22.975,19.318606309174513,26.63139369082549,2
2017,48.733021816834054,42.5072922826789,55.87058803008639,43.94396551724138,36.38311606829614,51.50481496618662,2
2018,78.65810373443024,66.78265653680376,92.64527055294207,95.97068965517241,86.44343426555324,105.49794504479158,2
1985,10.396623991807074,7.032435873874216,15.370177896477722,3.4473684210526314,0.38169064142583053,6.513046200679432,4
1986,10.383074075978296,8.4139401843211985,12.813048928984044,11.160344827586206,7.64048217799456,14.680207477177852,4
1987,10.260332443589634,8.44496016452294,12.465946529296039,5.643965517241379,3.8430898227943024,7.4448412116884555,4
1988,13.666437092872684,11.178533133387802,16.708051099799604,3.5448275862068965,2.2919558765449923,4.797699295868801,4
1989,25.869306630121798,22.5974000769069,29.614956731556244,29.814655172413794,25.165928452178715,34.46338189264887,4
1990,40.89398175300015,35.90574114268775,46.57521862503815,50.53362068965517,44.18078980188162,56.88645157742872,4
1991,43.96168923148672,38.711557244131264,49.92385369304165,50.37068965517241,43.031315416582814,57.71006389376201,4
1992,35.418401031119515,31.43022342210786,39.91263806030806,35.21465517241379,29.771042791011674,40.65826755381591,4
1993,27.610658828445107,24.32653067499117,31.338150561868822,25.88706896551724,21.03099089770787,30.74314703332661,4
1994,25.607421301288568,22.437683567769465,29.22494310614234,19.908620689655173,16.35077615665365,23.466465222656694,4
1995,30.450803315197504,27.05670790011564,34.27066685141248,27.64396551724138,23.532026278917918,31.755904755564842,4
1996,37.81467025242855,33.66605551791646,42.47451221420674,44.24568965517241,39.40715530815998,49.08422400218485,4
1997,38.326712069614175,34.005552333888986,43.19697100179747,43.99741379310345,37.66517013829669,50.32965744791021,4
1998,30.642325377894526,27.07514347707678,34.67948767694341,32.720689655172414,26.88865513840624,38.552724171938586,4
1999,21.36290940267011,18.67826861403454,24.433415514957275,24.489655172413794,20.230676125479295,28.748634219348293,4
2000,14.49758292561603,12.522061414329931,16.784769194997626,12.498275862068965,9.72642533890257,15.27012638523536,4
2001,12.333780508913975,10.629709487567098,14.311034729593878,9.999137931034483,7.615969126556004,12.382306735512962,4
2002,14.307333190100584,12.454869524300436,16.43532135067078,6.182758620689655,4.485940737879134,7.879576503500176,4
2003,22.762483353507037,20.23995233344087,25.59940062519904,30.292241379310344,26.85715911599161,33.727323642629074,4
2004,32.02367887625723,28.505900869606112,35.97556917989149,32.911206896551725,26.925354523809638,38.89705926929381,4
2005,39.066600107143586,34.849983779013904,43.79339897571268,45.293103448275865,37.40953902822845,53.17666786832328,4
2006,38.48983488368795,34.462044852197174,42.98837737944354,47.230172413793106,40.34324367165556,54.117101155930655,4
2007,31.83618497507443,28.28858962769016,35.82867463901605,31.6,25.958945546119146,37.24105445388086,4
2008,28.805774046663426,25.278492738784518,32.825241085451154,21.349137931034484,16.282612700222916,26.41566316184605,4
2009,33.89233804513457,30.21890065371126,38.01232186865153,38.12068965517241,31.963075169808455,44.27830414053637,4
2010,40.678638559267114,36.38956563162252,45.47324504465958,45.15,39.478399729907395,50.8216002700926,4
2011,43.04500633426534,38.43713823381948,48.205268536008376,50.37241379310345,43.15689386956173,57.58793371664517,4
2012,38.45635865462703,34.268684908277834,43.15577107588599,39.17672413793103,33.08467611044289,45.26877216541917,4
2013,32.66695352146905,29.009425273154907,36.78562544158132,33.835344827586205,28.492032212019076,39.178657443153334,4
2014,28.7163586454994,25.48431040004013,32.35831148311746,24.395689655172415,19.997042932231242,28.794336378113588,4
2015,29.117009565059593,25.984335391714943,32.62735926207647,34.647413793103446,30.121961445752934,39.17286614045396,4
2016,30.946387058480298,27.443026485753133,34.89698457531458,25.468103448275862,22.057356168217176,28.878850728334548,4
2017,40.864077120330016,36.33831711878137,45.953498436316124,39.327586206896555,33.77267642254273,44.88249599125038,4
2018,63.06097982179303,55.04062294808761,72.25003939063808,70.57241379310345,63.52633671917089,77.618490867036,4
1985,10.108020823456553,7.012860026399265,14.569246296491569,3.4473684210526314,0.38169064142583053,6.513046200679432,6
1986,10.366445119147194,8.472544974845682,12.683695952909119,11.160344827586206,7.64048217799456,14.680207477177852,6
1987,10.678740162015579,8.885217808575486,12.834293306550595,5.643965517241379,3.8430898227943024,7.4448412116884555,6
1988,13.622382447199792,11.274729452456075,16.45886975118084,3.5448275862068965,2.2919558765449923,4.797699295868801,6
1989,22.15704777013843,19.557495184178148,25.10212894161204,25.80344827586207,21.839830641450284,29.767065910273857,6
1990,32.36061928185524,28.70296212646743,36.48437661907841,39.38103448275862,34.60520127642758,44.156867689089665,6
1991,37.238238204401085,33.11673039704058,41.87268392569442,41.78362068965517,36.02700456583655,47.5402368134738,6
1992,35.57982622292396,31.931504176603905,39.644985937775076,34.536206896551725,29.61965849518414,39.45275529791931,6
1993,32.41938463357657,29.12127553913489,36.091018698935855,32.27155172413793,27.458327816546575,37.08477563172928,6
1994,30.633911463099402,27.479650421692945,34.150235433424356,27.963793103448275,24.27852163149744,31.64906457539911,6
1995,31.617073148372086,28.48740842244601,35.09056701984404,28.67844827586207,25.16815971436931,32.18873683735483,6
1996,34.316010472078766,30.99137504990657,37.99729998502825,37.52155172413793,33.50526412609984,41.53783932217602,6
1997,34.76555308841219,31.271883641597874,38.64953244886944,38.8448275862069,33.782265855903816,43.90738931650998,6
1998,31.331203493777895,28.089152241418027,34.947452451806846,33.19655172413793,28.377307201074473,38.01579624720139,6
1999,25.681907668970656,22.939128052838054,28.75263523523215,28.916379310344826,25.04850495993066,32.78425366075899,6
2000,19.800162656571615,17.57217424227129,22.31063929946663,20.56206896551724,17.47450296775162,23.649634963282864,6
2001,16.143839122457628,14.137814766688207,18.43449966722437,15.418965517241379,12.9985820181954,17.839349016287358,6
2002,15.784364910205761,13.799225875566242,18.055083514480945,8.926724137931034,7.11398782298767,10.739460452874397,6
2003,20.136685372576252,18.108851688278445,22.391596373644763,24.610344827586207,21.935572236871103,27.28511741830131,6
2004,26.088856628971048,23.53313806880004,28.922128371369894,27.060344827586206,22.64688941282524,31.473800242347174,6
2005,32.23642852161202,29.041922603661195,35.78231847839147,37.494827586206895,31.502321989523452,43.48733318289034,6
2006,35.09503336394985,31.744876260475785,38.79874524350385,41.93706896551724,36.15723965394102,47.71689827709346,6
2007,33.7735430606621,30.57491375197437,37.3068006053407,34.898275862068964,29.606802781623585,40.18974894251434,6
2008,32.64206268789891,29.3097243556188,36.35326772755746,27.582758620689656,22.651081836847695,32.51443540453162,6
2009,35.131568555141875,31.765150012870986,38.85475461770319,37.875,32.162568845900836,43.587431154099164,6
2010,38.366660492654475,34.775143399976315,42.32910330312588,42.06896551724138,36.68817379371796,47.449757240764804,6
2011,39.530675740383934,35.7574460820525,43.70206756113159,44.3448275862069,37.935251845088494,50.7544033273253,6
2012,37.74298982438259,34.07219609901237,41.80925927826353,38.09310344827586,32.28495099581843,43.9012559007333,6
2013,35.062064094968164,31.620401175406556,38.87832832291223,37.86206896551724,32.59606524396894,43.12807268706554,6
2014,32.1752775591966,29.034721356369264,35.65553370754979,30.839655172413792,26.26223818238515,35.41707216244244,6
2015,31.06781778031939,28.080026588664424,34.373518079956995,35.0448275862069,30.419992853133955,39.669662319279844,6
2016,31.70249321306529,28.480753447888702,35.28867583378331,26.560344827586206,23.017609346629712,30.1030803085427,6
2017,38.18794732850841,34.45547571327795,42.32474783690033,35.93448275862069,31.312845775722327,40.556119741519055,6
2018,51.966892591868884,46.0020895643587,58.705114294355084,59.099137931034484,53.23659352053497,64.961682341534,6
1985,9.655048677037273,6.794902555254397,13.719102547522711,3.4473684210526314,0.38169064142583053,6.513046200679432,8
1986,10.403089709562193,8.549099691421864,12.659142998857606,11.160344827586206,7.64048217799456,14.680207477177852,8
