unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	gew_aantal_meetptn	geselecteerd	reserve	cat	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
115	RASP003	RAS	Raspaillebos	120002	163028	2	1	1	1	4	217	1.07	40.612	14	1	0	4	3	-1	3	1	40.862	1.57	0.5
117	SANP006	SAN	Schansbeemden	216032	191815	2	1	1	1	1	694	1.99	36.53	11	1	0	3	3	-1	4	2	36.79	2.4	0.3
118	SBBP002	SBB	Steenbergse bossen	109983	170962	2	1	1	1	4	89	1.19	51.227	14	1	0	3	3	-1	4	2	52.147	2.26	0.3
119	SCPP036	SCP	Scheps	205976	204000	2	1	1	1	3	886	1.78	29.74	13	1	0	2	3	1	3	1	29.94	1.98	0
120	SCPP039	SCP	Scheps	206669	204706	2	1	1	1	3	886	1.7	30.22	13	1	0	6	3	1	3	1	30.8	2.28	0
122	SCPP050	SCP	Scheps	207566	205767	2	1	1	1	3	886	1.52	31.687	13	1	0	4	3	1	3	1	31.827	1.66	0
124	SHHP031	SHH	Schietveld Houthalen Hechteren	226046	192220	2	1	1	1	3	722	0.89	76.01	13	1	0	2	3	1	3	1	76.69	1.72	0.3
125	SHHP035	SHH	Schietveld Houthalen Hechteren	225904	194393	2	1	1	1	3	210	1.935	77.905	13	1	0	2	3	1	3	1	78.425	2.68	0.45
127	SNOP022	SNO	Snoekengracht	183102	169452	2	1	1	1	4	390	1.41	57.25	14	1	0	4	3	1	3	1	57.54	1.85	0.3
130	SNOP029	SNO	Snoekengracht	183348	169465	2	1	1	1	4	390	1.02	56.19	14	1	0	3	3	1	3	1	56.49	1.47	0.3
131	SNOP031	SNO	Snoekengracht	183313	169446	2	1	1	1	4	390	0.76	56.32	14	1	0	5	3	1	3	1	56.65	1.24	0.3
132	SNOP032	SNO	Snoekengracht	183056	169524	2	1	1	1	4	390	1.9	57.89	14	1	0	2	3	1	3	1	58.18	2.34	0.3
133	SNOP126	SNO	Snoekengracht	183237	169449	2	1	1	1	4	390	2.93	56.28	14	1	0	6	3	1	3	1	56.51	3.31	0.3
135	TEUP028	TEU	De Teut	224721	188606	2	1	1	1	1	722	0.95	60.236	11	1	0	3	3	1	3	1	60.716	1.58	0.3
136	TEUP043	TEU	De Teut	223696	188700	2	1	1	1	1	722	1.41	59.753	11	1	0	2	3	1	3	1	60.053	1.86	0.3
139	TLAP001	TLA	Terlaemen & Weijerman	213998	188072	2	1	1	1	1	694	2.12	32.213	11	1	0	2	3	-1	4	2	32.923	2.98	0.3
142	TLAP004	TLA	Terlaemen & Weijerman	214019	187879	2	1	1	1	3	694	2.06	32.845	13	1	0	3	3	1	4	2	33.295	2.66	0.3
144	TYDP004	TYD	Ter Yde	33126	203530	2	1	1	1	4	817	1.781	5.911	14	1	0	4	3	1	1	6	6.531	2.901	1
145	TYDP012	TYD	Ter Yde	33155	203402	2	1	1	1	4	817	2.5	5.94	14	1	0	12	3	1	3	1	6.23	2.94	0.3
146	TYDP054	TYD	Ter Yde	32617	203691	2	1	1	1	4	817	2.82	7.14	14	1	0	7	3	1	3	1	7.16	3.09	0.5
147	TYDP055	TYD	Ter Yde	32743	203672	2	1	1	1	4	817	1.36	6.862	14	1	0	5	3	1	4	2	6.762	1.46	0.4
148	TYDP058	TYD	Ter Yde	32486	203672	2	1	1	1	4	817	1.71	6.706	14	1	0	13	3	1	4	2	6.726	1.98	0.5
149	TYDP059	TYD	Ter Yde	32669	203788	2	1	1	1	4	817	1.69	6.54	14	1	0	8	3	1	3	1	6.44	1.84	0.5
150	TYDP071	TYD	Ter Yde	33667	203943	2	1	1	1	4	817	1.41	5.41	14	1	0	6	3	1	4	2	5.46	1.71	0.5
151	TYDP072	TYD	Ter Yde	33571	203880	2	1	1	1	4	817	1.525	5.61	14	1	0	11	3	1	3	1	5.51	1.575	0.3
152	TYDP203	TYD	Ter Yde	33046	203477	2	1	1	1	4	817	1.185	5.788	14	1	0	2	3	1	4	2	5.858	1.47	0.43
154	TYDP206	TYD	Ter Yde	33673	203910	2	1	1	1	4	817	1.465	5.25	14	1	0	9	3	1	4	2	5.39	1.83	0.45
155	UKPP026	UKP	Uitkerkse Polder	64020	221053	2	1	1	1	3	693	1.54	2	13	1	0	3	3	1	4	2	2.26	2.3	1
157	VDBP004	VDB	Vallei van de Drie Beken	198401	189278	2	1	1	1	3	54	0.92	19.69	13	1	0	2	3	1	3	1	20.43	1.86	0.4
158	VDBP018	VDB	Vallei van de Drie Beken	202838	192210	2	1	1	1	3	438	1.86	22.057	13	1	0	4	3	1	3	1	22.487	2.49	0.4
162	VDBP531	VDB	Vallei van de Drie Beken	197880	189431	2	1	1	1	3	54	0.57	19.47	13	1	0	3	3	1	3	1	19.78	1.03	0.3
163	VENP006	VEN	De Vennen	208317	206290	2	1	1	1	3	886	1.09	33.318	13	1	0	7	3	1	3	1	33.658	1.58	0.3
164	VENP009	VEN	De Vennen	208455	206286	2	1	1	1	3	886	1.31	32.53	13	1	0	5	3	1	4	2	32.89	1.67	0
165	VENP010	VEN	De Vennen	208440	206098	2	1	1	1	3	886	1.15	32.59	13	1	0	3	3	1	3	1	33.44	2	0
168	VIEP106	VIE	Vierkensbroek-Demervallei	192282	188686	2	1	1	1	2	310	1.69	16.8	12	1	0	3	3	-1	4	2	17.15	2.19	0.3
169	VIEP107	VIE	Vierkensbroek-Demervallei	192278	188526	2	1	1	1	2	310	1.89	16.897	12	1	0	4	3	-1	4	2	17.387	2.53	0.3
171	VIEP118	VIE	Vierkensbroek-Demervallei	192266	188817	2	1	1	1	2	310	0.66	16.77	12	1	0	5	3	-1	4	2	17.09	1.13	0.3
172	VIEP173	VIE	Vierkensbroek-Demervallei	192713	188703	2	1	1	1	2	310	1.89	16.89	12	1	0	2	3	-1	4	2	16.98	2.13	0.3
173	VIEP174	VIE	Vierkensbroek-Demervallei	192711	188697	2	1	1	1	2	310	1.92	16.79	12	1	0	6	3	-1	4	2	16.92	2.2	0.3
174	VINP044	VIN	Het Vinne	203993	170797	2	1	1	1	2	486	1.31	25.771	12	1	0	2	3	-1	3	1	26.181	1.87	0.3
175	VINP084	VIN	Het Vinne	203095	170251	2	1	1	1	2	486	1.88	26.27	12	1	0	3	3	-1	7	7	26.64	2.5	0.5
177	VLBP008	VLB	Vlassenbroekse polder	134033	193680	2	1	1	1	3	169	1.15	2.3	13	1	0	3	3	1	4	2	3.44	2.44	0.3
178	VLBP012	VLB	Vlassenbroekse polder	134945	193069	2	1	1	1	3	169	2.22	1.91	13	1	0	2	3	1	4	2	2.46	3.02	0.5
179	VLBP025	VLB	Vlassenbroekse polder	135142	193040	2	1	1	1	3	169	1.305	1.77	13	1	0	4	3	1	4	2	2.02	1.73	0.35
180	VRIP009	VRI	Vrieselhof	166718	212654	2	1	1	1	1	918	2.35	7.85	11	1	0	3	3	1	4	2	8.45	3.1	0.3
181	VRIP011	VRI	Vrieselhof	166854	212640	2	1	1	1	1	918	1.57	7.77	11	1	0	4	3	1	4	2	8.13	2.08	0.3
183	VRIP039	VRI	Vrieselhof	166653	213046	1	2	1	1	1	918	1.71	8.247	11	1	0	2	3	1	3	1	8.417	2.03	0.3
184	WAHP711	WAH	Waaslandhaven	144524	214863	2	1	1	1	2	41	2.06	2.205	12	1	0	2	3	-1	3	1	2.485	2.59	0.5
187	WEBP036	WEB	Webbekomsbroek	200108	184654	2	1	1	1	2	166	2.05	20.382	12	1	0	4	3	1	3	1	20.802	2.67	0.4
188	WEBP202	WEB	Webbekomsbroek	199709	184801	2	1	1	1	2	166	1.75	19.999	12	1	0	2	3	1	4	2	20.774	2.525	0
189	WEBP210	WEB	Webbekomsbroek	199320	186194	2	1	1	1	3	54	2.135	19.885	13	1	0	4	3	1	3	1	20.145	2.395	0
191	WELP020	WEL	Wellemeersen	128401	177063	2	1	1	1	3	1017	2.29	8.69	13	1	0	3	3	-1	4	2	9.26	3.01	0.3
192	WELP022	WEL	Wellemeersen	128519	176887	2	1	1	1	3	1017	1.02	8.2	13	1	0	2	3	-1	4	2	8.67	1.64	0.3
193	WELP034	WEL	Wellemeersen	129060	176759	2	1	1	1	3	505	1.4	8.89	13	1	0	2	3	-1	4	2	9.39	2.05	0.3
195	WERP001	WER	De Werft	193281	194778	2	1	1	1	1	822	1.89	0	11	1	0	6	3	1	3	1	0.45	2.34	0
196	WERP002	WER	De Werft	193300	194752	2	1	1	1	1	822	1.77	0	11	1	0	10	3	1	3	1	0.55	2.32	0
197	WERP003	WER	De Werft	193271	194588	2	1	1	1	1	822	1.7	0	11	1	0	7	3	1	3	1	0.65	2.35	0
